"","X.GSM2184194.","X.GSM2184195.","X.GSM2184196.","X.GSM2184197.","X.GSM2184198.","X.GSM2184199.","X.GSM2184200.","X.GSM2184201.","X.GSM2184202.","X.GSM2184203.","X.GSM2184204.","X.GSM2184205.","X.GSM2184206.","X.GSM2184207."
"SPP2",5.505473436,4.782758193,4.73522161,4.813076321,4.729088536,5.313143588,5.350627792,5.334286872,5.284978132,4.805831982,4.765059162,4.781732995,4.873044434,5.453192357
"SH3BP4",10.54159994,9.490741608,9.389163176,9.465389763,9.551911115,10.71577145,10.50937984,10.37417914,10.70655784,9.340297231,9.479089448,9.505300437,9.566006549,10.65133463
"AGAP1",9.218738897,8.339461672,8.374032824,8.663267686,8.633868752,9.724647939,9.551829703,9.476917287,9.619588472,8.621731139,8.716701807,8.334640568,8.217820806,9.200978993
"ACKR3",7.377391728,6.90625464,6.99758455,4.884068354,4.928349763,5.321791112,5.655911569,5.456833983,5.252962602,4.861355883,5.074362376,6.729345928,6.725839569,7.404870641
"COPS8",11.30869953,10.41989597,10.46368886,9.991159507,10.13107899,11.12046013,10.88036609,10.93792109,11.10052791,10.13071426,10.14537582,10.47780942,10.50244065,11.42241624
"MLPH",10.23681087,9.640365328,9.550152592,8.52664739,8.478265278,9.321743608,9.502107808,9.439294605,9.30194338,8.414739492,8.510845673,9.588112488,9.545814477,10.12726918
"PRLH",8.799939855,7.73701773,7.673549665,7.408369677,7.423243849,8.603616055,8.387895451,8.729819955,8.50681066,7.43545239,7.563139014,7.521853329,7.573900335,8.795158266
"LRRFIP1",10.37369384,9.782668517,9.807131549,10.04416264,9.880839272,10.38136956,10.6610632,10.62935888,10.53458848,9.95542853,10.01446865,9.795250553,9.785572649,10.52042419
"RBM44",5.216644462,4.434620719,4.365529973,4.51135273,4.462412041,5.418202885,5.308208093,5.279500653,5.451248074,4.51949709,4.258569066,4.464747142,4.41928385,5.2063786
"RAMP1",9.161444008,8.185194996,8.435915569,8.495024674,8.492604706,9.429226913,9.28573551,9.251124818,9.367610351,8.410574212,8.287419278,8.250733184,8.04211779,9.0786302
"ESPNL",7.777729852,7.049789754,6.962217294,6.944546505,6.749080564,7.725251675,7.610025014,7.874495032,7.522839324,6.775483864,6.703326869,6.934863842,6.81752972,7.706148536
"KLHL30",6.820285463,6.156855963,6.204317683,6.280973609,6.042741115,6.890603599,6.715930105,6.848000562,6.826155024,5.953749306,6.016081842,6.184339268,6.098496601,6.860984866
"ERFE",8.457388159,7.250021528,7.081221377,6.872792929,6.780833318,7.963734762,8.394826462,8.249545139,7.699506328,6.819743789,6.711652338,7.164352597,7.141236143,8.319606814
"TRAF3IP1",8.712780968,7.947720259,7.878364169,8.249085848,8.242517851,8.842782921,8.871171224,8.741506359,9.120633959,8.230383294,8.207772796,7.883332556,8.022081758,8.752906951
"ASB1",9.056946567,8.612043,8.492908242,8.347345599,8.288487365,8.877005793,9.24384872,9.145074091,8.895918668,8.251002339,8.357717967,8.446615589,8.49754603,9.140998599
"LINC02991",5.71311204,5.21687555,5.286456254,5.221422833,5.275461687,5.734244799,5.793447239,5.732004958,5.620447091,5.09474221,5.107964428,4.968362936,5.100249193,5.82606188
"GPC1",9.827212834,8.655880661,8.528374459,9.193074329,8.998128752,10.62451786,9.983714219,9.850956812,10.43929136,8.941159541,9.276361541,8.484837491,8.667250379,9.848644371
"MIR149",8.211488439,7.396195623,7.644966914,7.569095546,7.49989708,8.082599721,7.916494133,8.211679803,7.9976398,7.362785491,7.232478252,7.37864977,7.260600391,7.980137917
"DUSP28",7.904093658,7.04372056,7.137854905,7.058222864,7.139989479,7.866781967,7.793717964,7.789767573,7.760185315,7.169630333,6.996095458,6.985945462,6.952715138,7.931858187
"RNPEPL1",9.480381063,8.51246432,8.442755346,8.821020514,8.73864859,10.37309509,9.592371816,9.542152027,10.09719945,8.692299238,8.717080833,8.23232469,8.386031808,9.44142245
"GPR35",6.574526212,6.336319382,6.372805462,6.395129576,6.406873198,6.688014226,6.768420007,6.715920562,6.679291484,6.235338288,6.210654284,6.348478276,6.18625634,6.695648111
