"","X.GSM2184194.","X.GSM2184195.","X.GSM2184196.","X.GSM2184197.","X.GSM2184198.","X.GSM2184199.","X.GSM2184200.","X.GSM2184201.","X.GSM2184202.","X.GSM2184203.","X.GSM2184204.","X.GSM2184205.","X.GSM2184206.","X.GSM2184207."
"SEPTIN7P13",7.395033253,7.358144071,7.804425208,7.332892862,7.809447523,6.943484447,7.254139805,7.841959658,7.144627354,7.544147829,7.224294187,8.12575043,7.581973165,7.612432876
"LINC01128",8.570857893,7.875917884,7.913751532,7.931573141,8.168631549,8.293439057,8.922282449,8.957868911,8.489397792,8.112584147,7.927945161,8.128402398,8.123180825,8.667375364
"SAMD11",8.055561932,7.518293446,7.489687391,7.402511243,7.397730627,7.922923425,7.843183199,7.86019339,7.710900592,7.282173869,7.272776196,7.370572968,7.432555689,8.059972403
"KLHL17",8.565137866,8.049166348,8.003718702,7.987855611,7.993136758,8.520420893,8.438686262,8.495118743,8.399386702,7.838983926,7.935547506,7.945034389,7.954745554,8.507573368
"PLEKHN1",8.062873986,7.517274537,7.474962015,7.559940293,7.512217668,8.319189997,8.198527991,8.255580566,8.222395015,7.578818247,7.566833225,7.389052548,7.446663418,8.126575011
"ISG15",7.736802179,7.391457952,7.344051349,7.195960221,7.413487273,7.670034919,7.914109053,7.935175826,7.817756252,7.26394253,7.217482019,7.286943724,7.350942535,7.798036243
"AGRN",9.543032047,8.450466626,8.31397316,8.444585536,8.483189378,9.639083519,10.0088227,9.954960313,9.536577073,8.339033482,8.543132823,8.409623385,8.398593276,9.502671166
"MIR200B",7.04262884,6.914857201,7.104619802,6.675328753,6.888259916,7.005738134,6.713249632,7.01440048,6.856056149,6.816846812,6.889992242,6.665740118,6.715397862,6.978404401
"MIR200A",5.530232819,4.767012185,4.772800874,4.746243469,4.868086302,5.580861884,5.571064821,5.459611516,5.588143365,4.870591608,4.848593266,4.833732951,4.887905041,5.605328234
"MIR429",6.941070649,6.090654045,6.114611703,5.966331568,5.992230843,6.702879782,6.766545455,6.686035353,6.64414429,5.919554089,5.955456689,5.943603985,5.911804779,6.745154842
"TTLL10",8.426728104,7.912163954,7.781084011,7.842690412,7.607049305,8.348588264,8.276410083,8.278028094,8.168500561,7.630897952,7.671960305,7.647672126,7.657453525,8.461205359
"B3GALT6",9.689815995,8.687480807,8.710564715,8.345158985,8.170106311,9.522306276,9.502074249,9.493860855,9.300870443,8.14286952,8.498166101,8.542480805,8.596585748,9.691743256
"SCNN1D",7.720838781,7.045575303,7.212154762,6.979566682,6.830807071,7.661903867,7.642823169,7.767332856,7.552059074,6.944791589,6.817684484,6.938986653,7.013075958,7.623981756
"PUSL1",9.794948369,9.024134074,8.990341524,8.969579165,9.00262374,9.718734615,9.646577481,9.476301163,9.657120535,9.092168893,9.02738872,8.846142768,8.907798795,9.692670355
"CPTP",8.80222008,7.506926107,7.318393499,7.45199008,7.371857845,8.873390548,8.839431558,8.764930452,8.790292752,7.315636855,7.414102152,7.273543277,7.445775293,8.709131823
"TAS1R3",7.866365394,7.074545172,7.187046185,7.055474363,6.996949481,7.786703248,7.717643542,7.826186648,7.671725754,6.94344539,7.006962864,7.049694902,7.108228019,7.812243468
"VWA1",8.608281737,7.772495947,7.747649318,7.371211794,7.36554341,8.215141008,8.137144959,8.214262638,7.940412961,7.35137188,7.279380822,7.543769172,7.592516881,8.509677776
"ATAD3A",10.5817414,9.331901226,9.247420598,9.428761494,9.371557426,10.34448938,10.59157158,10.36506871,10.22762176,9.403352013,9.430825448,9.340696416,9.319931064,10.51371392
"MIB2",8.600099595,7.626717839,7.76056398,7.493756558,7.504053346,8.487016984,8.558769789,8.391479154,8.31630925,7.350050267,7.493756558,7.594363482,7.664889458,8.65298788
"CALML6",6.298833353,5.76792527,6.123999299,5.882153877,5.959298492,6.356163735,6.549083894,6.350353841,6.462597542,6.014814416,5.984696391,5.894797085,5.904456968,6.645653801
"GABRD",7.957588075,7.457184944,7.63894711,7.302986088,7.398604265,7.97009875,7.88941131,8.021827229,7.795141398,7.327647465,7.506182452,7.186357635,7.365126129,8.009621683
"PRKCZ",7.037215528,6.4945759,6.472438827,6.400019505,6.247626165,6.804801173,6.683036042,6.811282909,6.762547374,6.295408912,6.412801925,6.417897891,6.472520034,7.04850853
"SKI",10.90000392,9.561941652,9.620722332,9.62789046,9.580256424,10.96267831,10.97771524,10.94091492,10.95301224,9.556630985,9.611287365,9.59221129,9.675423661,10.87697247
"RER1",11.02751692,10.61457288,10.55761345,10.34362443,10.28780293,10.75015851,10.93482305,10.74955623,10.71966156,10.29049838,10.40397241,10.56446189,10.57294166,11.03405289
"PLCH2",7.846652204,7.053186406,7.169676352,7.05518704,7.04546459,7.782500025,7.685038131,7.784278617,7.695835443,7.050126409,6.993545836,6.99772583,6.936472969,7.795700371
"PRXL2B",9.574589841,8.47150313,8.439772949,8.717298946,8.850769961,9.87192017,9.638736644,9.696736547,9.727486357,8.823546187,8.826260426,8.357607042,8.415751771,9.450825655
"ACTRT2",7.101911507,6.29443876,6.134945518,6.169846682,6.248634031,7.252521174,6.989973976,6.918916711,6.917251584,6.179343772,6.317297225,6.196713523,6.17612623,7.114944197
"PRDM16",7.159701945,6.362006906,6.465909624,6.358109155,6.284163959,7.037603864,7.098240682,7.074589021,7.053134812,6.252559335,6.25492374,6.30006687,6.358109155,7.177172769
"ARHGEF16",7.659978762,6.687734825,6.845025819,6.640484343,6.660416717,7.571331036,7.500829459,7.670382765,7.602148555,6.695892623,6.519470806,6.63293067,6.641315839,7.592708514
"TPRG1L",10.39341788,9.660548302,9.632924487,9.703266029,9.745370401,10.76646382,10.58867435,10.50432253,10.72671337,9.860420006,9.81059466,9.611114126,9.608716237,10.41973453
"TP73",7.382332221,7.011557393,7.063906654,6.800767285,6.846445549,7.287698651,7.315279783,7.366562137,7.239672526,6.738858291,6.72815856,6.783908396,6.854386773,7.408686507
"CCDC27",7.113497732,6.435654024,6.43010461,6.409008999,6.372886186,7.015287689,6.960093953,7.20512937,6.983149759,6.31650646,6.277809359,6.272010981,6.366236497,7.144122137
"DFFB",8.383174838,7.87307038,7.664362431,7.857008389,7.788316116,8.229317686,8.471256568,8.394243045,8.14744519,7.670447934,7.868769555,7.695084245,7.732431928,8.284942473
"AJAP1",5.615226061,5.252076733,5.249284486,5.372123436,5.214910291,5.624251115,5.603459585,5.719536753,5.5557858,5.204505513,5.080871676,5.243780663,5.044070761,5.688756668
"KCNAB2",8.492548055,7.369739592,7.526499601,6.629891297,6.649979585,8.629527601,8.393352337,8.285327265,8.402689421,6.772276067,6.668248178,7.076454578,7.157546493,8.166073947
"RNF207",7.464834865,6.693838447,6.728439253,6.626762596,6.691701819,7.235299717,7.194627162,7.364317031,7.264677169,6.692216574,6.615209372,6.68735451,6.6171286,7.411632216
"ICMT-DT",6.812358955,6.219079238,6.305533165,6.175417365,6.336402299,6.883999908,6.850722188,6.889789322,6.964797057,6.23052729,6.29200364,6.190371864,6.107951702,6.895910613
"HES3",7.473725602,6.941713737,6.840810621,6.945636428,6.734427497,7.441243728,7.407467593,7.512973806,7.4438622,6.655533761,6.822454821,6.817197201,6.72096991,7.539381788
"ESPN",8.878349479,8.074116232,8.132563331,8.094522274,8.030808898,8.862612333,8.828853801,9.017629329,8.65108778,8.105016437,7.88702549,7.882910276,8.005433465,8.74908055
"TAS1R1",6.570700732,5.954203676,6.063450082,6.001186032,6.032648476,6.617850773,6.565451368,6.652203692,6.343916849,5.80630494,5.970407395,6.044615528,6.234496099,6.745217162
"ZBTB48",7.309677101,6.728382326,6.592035363,6.729299649,6.690902336,7.293554253,7.247692662,7.27221189,7.319043734,6.635010401,6.678728103,6.752568876,6.630594006,7.339339691
"PHF13",9.383220468,8.290536434,8.254568295,8.024824613,8.046634815,9.15182538,9.256170446,9.110760671,9.095974059,7.995608447,8.171984134,8.202224276,8.119771095,9.290749514
"THAP3",7.338109137,6.849100453,6.597703744,7.076190726,6.785084761,7.446198129,7.25078665,7.051170655,7.277830683,6.978755826,6.89088361,6.742018152,6.751239776,7.303084742
"CAMTA1",8.244168657,7.549271831,7.534601735,6.863520219,6.885900704,7.93197048,7.96114714,7.795431547,8.010939785,7.045699314,6.970443985,7.570652388,7.492293525,8.328362047
"VAMP3",12.21303641,11.72351666,11.78645201,11.49012376,11.51776756,12.05273444,12.06351823,12.15652723,12.06066884,11.52316973,11.52393417,11.73799197,11.77593917,12.22409223
"PER3",8.888865811,8.344565968,8.246536623,7.346358405,7.358967623,8.232696213,8.825729933,8.821941207,8.307796242,7.485794759,7.403782937,8.377270415,8.376701615,8.868917202
"PARK7",11.65692774,11.25036846,11.23615837,11.07305076,11.01610359,11.44437511,11.51812539,11.29722475,11.43908334,11.13702798,11.00889221,11.26826576,11.24522267,11.65321059
"SLC45A1",7.131903976,6.297752041,6.463806616,6.10525104,6.134984097,6.821666799,7.177732023,7.081949878,6.758473227,6.068241417,6.065352648,6.200947945,6.172065564,6.997491716
"CA6",5.905295321,5.538692891,5.475276432,5.470308962,5.446484985,5.885173632,5.833343036,5.892281823,5.924113787,5.406054425,5.541962257,5.564061578,5.493463688,5.913741782
"H6PD",9.450079185,8.339771925,8.263211047,8.061890839,7.970610775,9.672142132,9.768348977,9.643399908,9.509442029,7.919558468,8.239881003,8.203302483,8.244338528,9.231052136
"SPSB1",9.764848066,8.682601826,8.589029544,8.981527813,9.191770608,10.56728091,11.03440564,10.94649681,10.39210592,9.202057357,9.016492551,8.813948002,8.830532897,10.00146933
"SLC25A33",8.929259462,8.782062549,8.792328677,8.938102873,9.003606363,8.988221292,9.279548352,9.240765135,9.050809666,9.131731579,9.123348552,8.864700866,8.91088607,9.144960329
"TMEM201",9.714542478,8.547800763,8.498988816,8.896826593,8.739682631,9.479965963,9.867254799,9.685887094,9.592314993,8.715379608,8.785209405,8.374577507,8.594693352,9.685666885
"PIK3CD",8.087889649,7.413737472,7.468941105,7.546021879,7.41840391,8.642305901,8.052984524,8.142273913,8.570238809,7.44576354,7.51628458,7.346315198,7.519408947,8.184233414
"NMNAT1",7.641363747,6.919338474,6.770919266,6.94865766,6.879076746,7.750307012,7.904825091,7.819415659,7.837953178,6.880342846,6.862727424,6.94633742,6.985434924,7.726920111
"RBP7",5.566578924,4.887590849,4.838620928,4.720087523,4.714456173,5.626849419,5.71281991,5.683017356,5.582439538,4.743977692,4.542395193,4.551369975,4.828971571,5.669113321
"UBE4B",10.72179535,10.08002994,10.12797088,9.882541888,9.801625455,10.57594691,10.54448691,10.50952688,10.56469903,9.763056241,9.78798317,10.08363622,10.0605892,10.71923273
"KIF1B",9.812964616,8.909111771,9.04240998,9.101622619,9.149518638,9.977226105,10.06534387,10.02131803,10.08741162,9.093456079,9.163267291,9.090012316,9.103860866,9.911722084
"PGD",12.52160982,11.9683091,11.91966053,12.04719595,11.98816074,12.64715494,12.68812701,12.58516857,12.62907564,12.0110193,12.01695649,11.9079025,11.91932926,12.47509079
"PEX14",9.489957524,8.332554379,8.294312527,8.332398981,8.322623551,9.515944862,9.389496216,9.304122243,9.430867888,8.313398899,8.342926213,8.339932451,8.310898065,9.401020398
"TARDBP",11.03263805,10.83506577,10.70250728,10.84378236,10.60901917,10.84954164,11.04572306,10.99870493,11.0137049,10.64033551,10.74052317,10.73922335,10.73329873,11.1408291
"ANGPTL7",5.21638009,5.00331797,4.928761175,5.038755879,5.02020459,5.130551984,5.114588434,5.152816799,5.149844927,5.031225818,4.944675808,4.912195899,4.931401529,5.117206202
"UBIAD1",10.7203584,9.820694379,9.912528503,10.06658588,10.00856513,10.71127032,10.90769314,10.78211531,10.7050078,9.917248972,9.886305853,9.869928833,9.920388484,10.73909154
"DISP3",6.478287643,6.03570911,5.932199402,6.057219778,5.94712659,6.381428136,6.459497247,6.461262381,6.428941222,5.931061269,5.683193513,5.777118368,5.795278255,6.557654057
"FBXO44",8.131861388,7.382283131,7.289117771,7.456765377,7.381646419,8.092516679,8.237078866,8.136174264,8.124748733,7.297729477,7.378832849,7.388495231,7.493415185,8.165429863
"FBXO6",7.696695478,7.309705728,7.290680142,7.350654929,7.461361838,7.808098694,7.807055419,7.652021732,7.929381819,7.454440421,7.434312835,7.133449513,7.215370414,7.575878047
"DRAXIN",9.18112876,8.400884996,8.445162212,7.25151223,7.351413233,8.204241768,8.580473066,8.635229825,8.137386311,7.295585956,7.193775033,8.420940146,8.581763012,9.367992803
"AGTRAP",10.4348692,9.57929571,9.568864667,9.77136875,9.872823618,10.64037758,10.93941795,10.61276002,10.72813398,9.718248495,9.597128494,9.581937855,9.703066201,10.51271762
"C1orf167",7.272879114,6.857360717,6.64944674,6.871917959,6.510528818,7.258182157,7.133749292,7.243586821,7.139099056,6.626283374,6.60685243,6.695404414,6.662875478,7.199734659
"RNU5E-1",11.74289306,10.67139159,11.20128134,10.24160901,10.64098203,11.76109706,11.62796641,11.57318932,11.37844515,10.45942373,10.87363499,11.24355992,10.95504419,11.62091398
"PLOD1",12.13409264,11.17807828,11.1069012,10.7209176,10.68673179,11.52929226,11.83632375,11.69319347,11.5216857,10.6456691,10.79447347,11.10457846,11.22813661,12.14052198
"MFN2",11.46340905,10.78017106,10.74995559,10.74100243,10.67912073,11.13890482,11.64336487,11.36170547,11.27252111,10.76217863,10.74732952,10.81918787,10.83318526,11.51501101
"MIIP",8.885401598,8.319346418,8.202772538,8.108307745,8.256587038,8.795176501,8.855747375,8.836407252,8.559656264,8.181987808,8.45018992,8.21171363,8.152539952,8.815702201
"TNFRSF8",7.736265374,7.183761475,7.216955763,7.223529208,7.117301317,7.638562339,7.558393446,7.675055246,7.544620818,7.111687019,6.967463921,7.170573329,7.072135898,7.618319772
"TNFRSF1B",6.933205728,6.227683933,6.493896611,6.531815562,6.485662958,7.31317336,7.307694533,7.043339594,7.25230301,6.459384059,6.412944284,6.2073208,6.284065587,6.870890815
"VPS13D",8.676569072,8.089828045,8.122143123,8.034318116,8.106812372,8.792036023,8.872755007,8.778058677,9.019907087,8.035665285,8.098373827,8.210315493,8.071085465,8.716821862
"AADACL4",5.22425623,4.499142779,4.411065645,4.511448262,4.533771088,5.328976178,5.385522438,5.343591181,5.326365819,4.512860528,4.432339089,4.519122551,4.420160301,5.251865873
"AADACL3",6.197581852,5.463833786,5.460494132,5.597355902,5.586733787,6.184607475,6.19210457,6.413455583,6.220943569,5.375156713,5.458930984,5.422169782,5.524424085,6.135617333
"CFAP107",5.727604714,5.178899693,5.295421096,5.2293529,5.232863695,5.702274461,5.600187399,5.754741992,5.671774835,5.190122785,5.23016255,5.330545818,5.214451524,5.569477121
"PRAMEF12",6.225404229,5.607015718,5.461557515,5.505862607,5.318514066,6.174946492,6.049287425,6.202557928,5.926218747,5.196494522,5.309922409,5.273110109,5.327191843,6.151314232
"PRAMEF2",5.161217681,4.655412211,4.725442931,4.755655593,4.515160795,5.111187342,5.161876288,5.172286847,5.352762972,4.654775332,4.65664723,4.659587563,4.75907642,5.298508478
"PDPN",10.02186452,9.057146962,9.126919718,7.19453895,7.252768337,8.7615857,10.66779335,10.68118803,8.683355149,7.326392918,6.944602618,9.41629726,9.191674881,10.13814257
"PRDM2",9.009145307,8.222343903,8.159605244,7.986173567,8.027403467,8.810219168,9.12114803,8.943054632,8.858495699,7.986600263,7.838025333,8.31913481,8.36423065,9.037767824
"KAZN",8.827113929,8.18016642,8.30364252,8.499303515,8.500712859,8.982852542,8.953413676,8.901222992,9.03459033,8.540214624,8.265494548,8.0694476,8.193569919,8.902764353
"TMEM51",8.412747919,7.701351256,7.776992404,7.77597553,7.731987001,8.77495168,9.076386053,8.867840618,8.778607938,7.82566809,7.68587675,7.767067209,7.855192049,8.448292539
"FHAD1",6.402859106,5.387950444,5.36879352,5.379998062,5.271787335,6.241953419,6.252698299,6.366832945,6.179848787,5.346852321,5.355358709,5.421256267,5.359468828,6.343339607
"EFHD2",10.46930506,9.184354598,9.214613424,9.829778376,9.897335367,10.98475782,10.96010322,10.84432301,10.91196081,9.844940484,9.956790644,9.183991433,9.22656734,10.48332233
"CTRC",6.382046853,5.658800321,5.731758975,5.700727637,5.600319273,6.153454686,6.160453833,6.456783436,6.203055081,5.651410017,5.403066752,5.632690698,5.647718071,6.208730395
"CELA2A",5.724369341,5.316414443,5.345367745,5.296445939,5.240104545,5.69188783,5.509123812,5.58076064,5.578764721,5.219316322,5.234885227,5.298273441,5.431048625,5.824137355
"CELA2B",6.017683872,5.911768811,6.214840506,6.016392417,5.913604043,5.817523356,5.876186656,5.891909888,5.839508594,5.886994619,5.893577916,5.904959165,5.875267751,5.994665055
"DNAJC16",9.90683203,9.61511335,9.58312855,9.629915957,9.52994458,10.01554883,10.11588958,9.998532546,10.11919998,9.392830856,9.467832304,9.64831876,9.507397974,9.966833406
"PLEKHM2",11.03744269,9.945933247,9.925689386,9.546856592,9.753980596,10.81281492,11.02032177,10.86378695,10.88502186,9.661718265,9.795881992,9.93826222,10.04399191,11.03096867
"SLC25A34",7.205275692,6.77892042,6.828920116,6.778010111,6.889184433,7.09838045,7.009339124,7.125434642,6.994865388,6.564724061,6.582624275,6.918095585,6.744362078,7.130121224
"TMEM82",6.903646764,6.793789579,6.741168949,6.700862536,6.615008837,6.789934728,6.697937595,6.973246434,6.872418387,6.459332591,6.492100476,6.478067547,6.520739402,6.992265943
"FBLIM1",7.493185819,6.610261094,6.648019036,6.547398023,6.569441692,7.636532865,7.978507876,7.756873227,7.711851877,6.550921084,6.610918204,6.424342422,6.640337914,7.551592255
"SPEN",10.42801282,9.080654522,9.191867614,9.431958271,9.469942553,10.2905248,10.62925069,10.56292028,10.48478977,9.295532685,9.302372907,9.45547313,9.22807939,10.53078638
"SRARP",6.825144006,6.209337471,6.282839316,6.227641502,6.226740123,6.791297962,6.69003888,6.652473097,6.72535322,6.014303891,6.138197554,6.208893286,6.231977399,6.705140128
"CLCNKA",6.971310175,6.408611502,6.346157059,6.306583614,5.940040915,7.024300668,6.756649793,6.931285951,6.596938755,5.837716987,5.980139476,6.071515653,6.228040576,7.002830885
"CLCNKB",6.442420196,5.874689013,6.05646461,5.84684285,5.85254847,6.436872555,6.037842542,6.384012292,6.316166474,5.916117643,5.663330487,6.08145166,5.926137585,6.377586653
"SZRD1",11.36914417,10.46922972,10.46426306,10.41994605,10.45961226,11.37347767,11.38550328,11.37864396,11.31020354,10.41817346,10.45605233,10.40943782,10.5137051,11.29886245
"NECAP2",11.25778151,10.57821593,10.44524993,10.33374159,10.33817057,11.24129273,11.07559324,10.99861567,10.99993494,10.31525934,10.46845464,10.50400505,10.56320833,11.23385462
"LINC01145",6.298033029,5.463666656,5.610889645,5.430206597,5.343736242,6.149751813,6.646668612,6.460436749,6.27904501,5.470244583,5.561647401,5.520110592,5.478391953,6.458002048
"CROCC",7.161865309,6.91516738,6.989084698,6.885593644,6.895490471,7.213845614,7.02470577,7.141314372,6.795284764,6.843102859,6.785712464,6.730669459,6.820291986,7.207878661
"PADI1",6.242487986,5.430201432,5.365019519,5.370447439,5.394305808,6.121125036,6.178391639,6.137976635,6.059550736,5.291549105,5.376243758,5.320049655,5.394992768,6.223149235
"PADI3",6.798660195,6.082205909,6.227386601,6.281158563,6.184433315,6.83543473,7.198654258,7.140350073,6.822611237,6.191843618,6.352175083,6.066996053,6.004227492,6.699164813
"PADI4",6.429780913,5.619593067,5.535994719,5.637575215,5.854916071,6.403249932,7.616420676,7.449247162,6.371683613,5.855848756,5.666939556,5.244095355,5.400147668,6.494632513
"PADI6",6.118792852,5.594886254,5.605155614,5.642027579,5.567349044,6.043326776,6.019381778,6.052451761,5.923990079,5.647005618,5.533079588,5.546665343,5.719570334,6.103680423
"ARHGEF10L",7.906001849,6.921620377,7.028314039,6.945696799,6.938139085,8.052543146,7.890327614,7.844585573,7.968573588,6.917020938,6.950052046,7.011864924,7.046011104,7.919647969
"ACTL8",6.51134124,5.708614089,5.519821494,5.719491901,5.784540334,6.473230393,6.433970211,6.412536499,6.449408867,5.735292389,5.889306395,5.633117873,5.508443711,6.491521886
"IGSF21",7.062360165,6.184927347,6.202645664,6.107389519,6.118451284,6.990565163,6.874052527,6.736684372,6.907039656,6.041518231,6.185991973,6.206670859,6.100774049,6.998290212
"KLHDC7A",7.266978834,6.587128026,6.899998205,6.725083034,6.660704727,7.138300902,7.159855495,7.125087345,7.114581651,6.744088586,6.5154687,6.552131536,6.57732725,7.390373617
"PAX7",6.897216387,6.153470609,6.266625354,6.314513123,6.056394687,6.851949673,6.85764361,6.874634072,6.683392779,6.159637324,6.074008758,6.149316671,6.318364026,6.816424057
"MRTO4",10.16343313,9.65701481,9.508585806,10.07473213,10.01377325,10.09689772,10.46439588,10.02354627,10.0585468,10.09352135,10.18021535,9.598283667,9.744059956,10.19797925
"SLC66A1",9.132965293,8.280193329,8.170725484,8.15017289,8.373734525,9.078195253,9.310855936,9.087813511,9.080481518,8.229160878,8.374215844,8.333730551,8.324465189,9.182626605
"RPS14P3",8.516457845,7.424544674,7.416093345,7.346721801,7.284558116,8.467080766,8.410951763,8.389324359,8.496588689,7.411061579,7.27745908,7.359714323,7.511260534,8.465180918
"HTR6",7.10335207,6.958805665,6.862708505,6.86434546,6.725872834,7.122025881,7.051621345,7.162483499,6.923956915,6.700296641,6.723245315,6.785881422,6.723029499,7.233230659
"OTUD3",7.246327725,7.324405257,7.264532129,7.304406996,7.551246143,7.27221189,7.390548319,7.433722016,7.393791275,7.53776571,7.395652647,7.274326078,7.292395322,7.225841996
"PLA2G5",6.281378268,5.981601057,6.057267149,5.671888568,5.841956161,6.294858267,6.189209818,6.397660365,6.255929892,5.987583077,5.906796041,5.812356174,5.84667489,6.340915273
"PLA2G2F",7.093443534,6.855942698,6.891486045,6.723054856,6.75501953,7.097776904,7.109008174,7.136237225,7.057577723,6.470574556,6.546760369,6.576637862,6.270549042,7.11517031
"UBXN10",5.914266105,5.250952657,5.096056368,5.305979125,5.094803145,5.860373566,6.336488748,6.101303865,5.967951049,5.363559551,5.134405145,5.258437108,5.417367834,5.804103274
"VWA5B1",6.714718282,5.860804659,5.770925757,5.92172915,5.798374827,6.67962368,6.743429705,6.661147528,6.638976358,5.803354966,5.91728814,5.803667397,5.772649871,6.679754029
"FAM43B",9.76398618,8.784279189,8.759088574,9.019661561,9.063236995,9.998905795,9.766409712,9.71295715,9.998824015,8.935042565,8.973209817,8.609204171,8.492069369,9.821779326
"CDA",7.024149679,6.127679945,6.519153252,8.356264744,9.228827061,10.28872365,7.933871658,8.251744593,10.44598646,8.948803305,8.640799692,6.330377284,6.207413286,7.129182064
"NBPF3",7.584922387,7.016014123,6.991921546,7.007707088,7.109163301,7.701458624,7.578349365,7.518402173,7.890815973,7.036097156,7.024143948,6.875715179,6.899013702,7.420997007
"ALPL",8.44944682,7.495923788,7.476009292,6.311398741,6.210868466,6.508758435,6.451369504,6.517425813,6.410298086,6.205035221,6.347657252,7.665108305,7.831119298,8.893644541
"LDLRAD2",7.384589575,6.53601645,6.452630359,6.690440743,6.512357352,7.384835433,7.293782986,7.4913056,7.293364557,6.551007502,6.512582563,6.498393166,6.507519938,7.280006159
"CELA3B",7.695602396,6.898681662,6.887863768,7.040421443,6.777431594,7.712044259,7.629602289,7.751004288,7.714625759,6.79156239,6.795819569,6.773142189,6.924915205,7.69509584
"CELA3A",7.252041155,6.30313477,6.434003617,6.339886425,6.360105273,7.22627219,7.100687033,7.186829495,7.21364544,6.497499218,6.45598453,6.326605837,6.200534529,7.279672486
"LINC00339",8.402833863,7.762563932,7.542603642,7.774046213,7.659619594,8.394310176,8.488235662,8.321959251,8.394891361,7.654515582,7.916052313,7.632886693,7.684461434,8.296069864
"CDC42",9.227251981,8.723726595,8.882114455,8.729945884,8.63161984,9.339959684,9.127797361,9.228311168,9.371287351,8.713290086,8.691270856,8.72709095,8.790156778,9.154822892
"ZBTB40",9.403239139,8.801755634,8.712250821,8.855352846,8.870673071,9.157550765,9.387103623,9.307113048,9.384348323,8.912031726,8.788713727,8.758455697,8.803410231,9.358058719
"EPHA8",7.074730746,6.202466169,6.103583719,6.076126018,6.030008017,6.82506025,6.832974692,6.898329113,6.902030287,6.127401024,6.143530586,6.121047264,5.980171341,6.949571539
"C1QA",5.937151491,5.366939006,5.416297468,5.416351798,5.11426892,6.024955559,5.901906438,5.937452134,5.876276671,5.143320296,5.243471326,5.224467245,5.329108873,5.882233634
"C1QC",6.682723211,6.151527834,5.999515214,6.28811462,6.010561972,6.567514839,6.579292393,6.77937199,6.620162058,5.979224712,5.993117342,6.237896061,5.91971981,6.761407905
"C1QB",6.629328107,6.004394723,6.057239124,5.991148615,6.037175587,6.736308349,6.652064602,6.644530438,6.63841825,5.96087387,5.848031713,5.872870392,5.944696572,6.722428665
"EPHB2",8.919890133,7.825908605,7.800768989,7.18298989,7.041466291,7.95867592,8.735665309,8.634741529,7.902231302,7.105098883,6.92547159,7.660353933,7.787022036,9.062138145
"KDM1A",11.36515281,10.71264722,10.58136447,10.63923354,10.58496,11.29467032,11.26322901,11.16412831,11.21847691,10.57960815,10.68490926,10.64119747,10.59939176,11.28959341
"ZNF436-AS1",6.239827764,5.490894139,5.542011628,5.570663611,5.46128421,6.007786316,5.966821353,6.195484596,5.970141531,5.523409043,5.53262111,5.511408355,5.45632397,6.158116561
"MDS2",6.194986034,6.103834786,5.904566256,6.128979466,6.033493301,6.281930732,6.256897138,6.226235423,6.216843376,5.942905184,5.932923435,5.871011121,6.027842855,6.382953317
"RPL11",12.28092411,12.14389955,12.13331079,12.17383346,12.12878769,12.29074693,12.28030772,12.28283594,12.1944432,12.21830888,12.04395657,12.22519232,12.19746351,12.40544639
"ELOA",11.24206749,10.28543418,10.31003879,10.36363441,10.23365368,10.90080441,11.14526997,11.15137914,11.00667133,10.31765859,10.30925129,10.38359016,10.42464362,11.26195157
"PITHD1",9.921174286,9.144195737,9.020766264,8.995221637,8.840186724,9.456437742,9.685261117,9.616113124,9.427998093,8.995958347,8.974834759,9.006874849,9.057239402,9.79422491
"LYPLA2",11.0406211,9.627744154,9.578166145,9.715780492,9.77297323,11.06237985,11.26318316,11.04190732,10.90875572,9.590129062,9.768850786,9.513282168,9.552396732,11.0317603
"PNRC2",12.06043922,11.85084209,11.63988915,11.94048626,11.72039277,12.18403428,12.21611953,12.11387643,12.14830898,11.80661405,12.00326976,11.60826438,11.67133542,12.0259187
"GRHL3",6.151571685,5.686763029,5.652402992,5.699867632,5.757871019,6.178987919,6.306381746,6.221877626,6.230619481,5.687857769,5.631105635,5.579160219,5.679287836,6.127042383
"NIPAL3",8.55245039,7.87250976,7.600577342,7.831837287,7.886204271,8.88470476,8.878878798,8.723495498,8.940090599,7.980741364,7.880842683,7.847611213,8.067775887,8.802808012
"RCAN3",9.18357201,8.498284897,8.135857113,7.248027516,7.283107812,9.108482092,8.833649652,8.606150823,9.101461989,7.394305907,7.4233192,8.539064164,8.472537942,9.330645064
"NCMAP",6.172267841,5.639635347,5.728532949,5.71291491,5.62238544,6.113244872,6.100683812,6.173582488,6.073183718,5.657150093,5.57646609,5.600756785,5.475777598,6.180120558
"SRRM1",11.32562909,10.73361928,10.77579651,10.68901236,10.66627395,11.09928302,11.19749186,11.27342431,11.19611223,10.69610056,10.65702126,10.61859919,10.69981584,11.26027127
"CLIC4",12.59028943,12.12167646,12.1472508,11.86041302,11.9448265,12.64357233,12.76706974,12.73892132,12.65878245,11.9348174,11.87942739,12.19015539,12.12501941,12.69864961
"RHD",5.635158526,5.230647463,5.473911281,5.432348731,5.345932501,5.728801062,5.697826799,5.763565985,5.649303973,5.4672795,5.393559699,5.490925495,5.218588364,5.700819848
"TMEM50A",13.00344509,12.59091488,12.61411151,12.47704647,12.41830604,12.97937741,12.95253018,12.99326192,13.055082,12.46511725,12.41676144,12.5954838,12.57708142,12.99253534
