gene_symbol,0
C14orf28,7.441180516941636
SPAG17,7.2671054574320175
DSC1,7.122972943254858
C8orf33,6.368251754176934
FBXL19,6.096435615334117
SLC22A23,5.904421572046609
DCTD,5.527201112050984
CTPS1,5.403164034824911
KREMEN1,5.334028512560827
HNRNPA0,5.30143503859355
TSSC4,5.266655596007188
TSPAN15,5.1062903495326815
PXDNL,4.959511315008743
DDX54,4.944547652426912
AXIN2,4.9054043895737385
PSMD1,4.902053406797133
PRR12,4.801574797588066
ATP6AP1L,4.792611238748511
GPR155,4.6674693715860105
ZC3H6,4.612182923687879
INTS1,4.591524596831269
RASSF1,4.586690571478701
NAP1L4,4.570745419061872
ZBTB45,4.493767320534565
PRKCD,4.490694042016188
CARM1,4.417267764182036
SLAMF6,4.390225804224788
TSPAN17,4.360392980420693
SPR,4.3290906450095274
TPX2,4.301696801001633
NR2C2AP,4.283251216291423
RRP36,4.277180269227915
RASGRP4,4.276134186986788
DHX9,4.229200864781787
PRPF31,4.219954843805739
STX5,4.105235936075952
U2AF2,4.10376061334348
GIPR,4.0899134170589795
SURF2,4.0662318743691115
TPGS1,4.027131429751738
PBDC1,4.027083035377676
STK38L,4.01339123084832
ALYREF,4.011465084103614
PKM,4.0037100260992
PHF23,4.001937156854251
POP7,3.958666313148577
SH3GLB2,3.9274107036077144
NOL7,3.8991876529472935
GSK3A,3.893060211936485
MCAT,3.885363780944308
SLC14A2,3.883715938233166
TOX4,3.8697635477409253
FAM149B1,3.8361867706974455
TDRD10,3.8076821397817215
ARRDC1,3.7801359216978496
PDZRN3,3.7675216865753796
AVEN,3.7568136506396805
HAVCR1,3.7561152545155116
TARP,3.7557577624928733
PHF21B,3.7459804077936134
ARHGEF4,3.7445031849479857
TMBIM6,3.741148982261724
GPR82,3.6928510774792414
EXD1,3.6813437506493667
ADH5,3.666974587903231
SHISA4,3.641608894606343
CKS2,3.638868117801273
ZNF593,3.6229274233295006
MFAP5,3.5873788645917255
TIMM13,3.576858979686152
HSD3B7,3.509290319895064
NINL,3.507819701886367
NIPSNAP3B,3.4933332894213263
REL,3.47830456136232
ISOC2,3.469456138263789
C1S,3.4653069051289553
MB,3.439440884435548
HOXD12,3.429032486219836
GRIA2,3.4113072647608935
SCO2,3.402045253347811
CBX6,3.3812355969293737
CD36,3.3792701752445145
KCNE3,3.3646650942446574
PC,3.3535969378270605
RAPGEF4,3.3375053044567093
SETD2,3.263939028588917
IGIP,3.221498420682313
PYHIN1,3.214195130607529
RRN3,3.0831585781774105
KCNK3,3.055061018476213
MCOLN1,3.032480592681329
TBX2,3.0246204429323273
C8orf58,3.023375188872937
ZKSCAN3,3.0121215490458924
LZTS3,3.0019000620801823
THEM6,2.6565145916729977
DDB2,2.5471740685886073
PXMP2,2.4278460033429936
POU3F2,2.342352325454884
CSTF2,2.3113278871351377
RPL3,2.3074239072340434
TMED1,2.3073984675828947
TRAF2,2.2748789839349985
PHRF1,2.230550368024576
FADD,2.2178423150682374
RBBP7,2.207752110286432
RBM23,2.2076354367754063
HDGF,2.1525084203963476
SPATA33,2.0749738540139337
KEAP1,2.065789895367439
PDAP1,2.0394555496561813
MAFA,1.9867008418667507
TRIM38,1.9749826667700165
NDUFB1,1.9574359670958505
CASP6,1.9357914150893885
SUPT5H,1.911882789053631
TRIM65,1.9112469621237762
FDCSP,1.9012639239763303
ACD,1.8732785694362815
CRACR2A,1.8675590618138151
VPS13D,1.8600336751143933
LEO1,1.852187307911702
RRS1,1.7932126899937935
STUB1,1.7801487498623827
PSMC2,1.7789144652780504
BRD9,1.7702682821311662
SHROOM1,1.7686357942900746
LETM1,1.7648771617386114
SPHK1,1.7571982790727405
PNMT,1.7352169707052159
RBX1,1.7347681852390728
DRG1,1.7322810711129248
INTS9,1.7296276230716658
ACTC1,1.7188616225906592
RBM14,1.714179415989214
CCT2,1.7087053721875545
GPR107,1.7051738803198686
SNUPN,1.7028139099116946
EIF2B3,1.6997597094675267
XRCC1,1.6964727208847734
TEX261,1.6926239649279433
YLPM1,1.689830033284448
PTGIR,1.688214389325016
NUP43,1.6716999761672178
MRGBP,1.6692753972263308
FGF21,1.6607024966698323
TIMM50,1.6555856945158067
TMEM248,1.6351093316151475
DQX1,1.6091566975424112
USP19,1.5811006059628834
S1PR4,1.577675437737826
VCAM1,1.5718113689811464
CALM3,1.554366389925116
CCDC137,1.5274981619505652
LSG1,1.5146021912260912
IPO4,1.5108265745069198
WDR70,1.509783772574841
LHX5,1.5037474970976135
LRG1,1.5028613137962592
TTI1,1.481737188216955
AKIP1,1.4781973520503688
GTF2H3,1.4744532131985224
MTIF2,1.4520915072530063
MUTYH,1.4451212696010085
STX18,1.4430567184696417
MLH1,1.4419934881301817
SNRPB,1.4319460672267479
SF3A1,1.4142804880609965
POLR3E,1.4125831027832747
KRI1,1.4033845075354627
RASGEF1B,1.3975006595206283
TRMT44,1.3820141627053326
CACTIN,1.3813014783601387
TMEM87A,1.3709647903609234
GALNT2,1.3624629514703532
TMEM259,1.3608950046701667
ZNF628,1.3531567932366444
COMMD6,1.3493428864224188
RSL1D1,1.3492870832887245
OSBPL2,1.3449175628997223
TESK2,1.3413413697450796
OTOP1,1.3367610709357611
CDKL4,1.335251994218092
PARP1,1.3313738275144202
PPID,1.329983689544713
NSUN2,1.3162116823578558
MIOS,1.3085662794502781
DHX38,1.2981229787921498
DUS3L,1.295482934255835
XPA,1.2718279275133155
SNRPD1,1.269631676553572
MCM3AP,1.2639616249887227
TAMM41,1.2526651104319104
GNG8,1.252378463699758
