"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Correlation"
"GEMIN4",4.85625,9.163125,3.44165492566791,0.00378143636710084,0.132211571514601,-1.81803897772259,0.70484073972231
"GEMIN5",3.33125,5.608125,4.38708334029675,0.000569234301665365,0.0566450683377002,-0.0520052097645554,0.525823734005654
"GEMIN6",4.295,9.93375,3.63477939849789,0.00255906859116983,0.106659194622557,-1.45455599190213,0.685912117103474
"GINS4",3.05125,6.308125,1.93515294274518,0.0726703033661184,0.378852004681569,-4.49401461541523,0.571022785385422
"GLI2",-1.0475,1.93875,-1.58545563265131,0.134370078944342,0.495075713685933,-5.00892912809284,0.531787855893094
"GLYCTK",0.742499999999999,1.93375,2.25766491982743,0.039820437761277,0.312049194258664,-3.96887107200467,0.704133461280113
"GMEB2",1.2925,5.95,3.64261518081387,0.00251889409833054,0.106274940610642,-1.4398098936233,0.627155225270932
"GNL3L",1.46875,5.299375,2.03134819475292,0.0609186127971497,0.357707107585234,-4.3417992760033,0.752986893161734
"GNPDA2",1.84625,8.961875,1.77796411157179,0.0963265489345885,0.425504909208374,-4.73343550320277,0.853571187542037
"GNPNAT1",3.0125,10.0075,1.73309166915213,0.104230173386373,0.442605549871186,-4.79948521698215,0.802440614173129
"GPANK1",2.51125,10.244375,2.90087249403927,0.0112613925143428,0.201027696217505,-2.82707328512091,0.632465399108251
"GPN1",9.4975,26.13125,5.75605208779169,4.28979031413131e-05,0.0169306269422561,2.3399974452412,0.595155241367252
"GPR3",2.17125,3.259375,6.10816261592394,2.29547370089411e-05,0.0127042623381659,2.90949925792499,0.584702139073117
"GPR89A",2.01375,12.794375,1.75563532420454,0.100190821969666,0.434624186034162,-4.76643579893895,0.80851992324417
"GPRIN1",1.26625,4.285625,2.01020183085273,0.0633423348076063,0.36391777897255,-4.37560729876191,0.649711456796203
"GRWD1",6.86,11.36375,6.10336706799196,2.31483991584934e-05,0.0127042623381659,2.90187854286832,0.59336918590668
"GSK3A",7.92,53.57,2.28808939616119,0.0375721018347397,0.306655995444827,-3.91732229207105,0.737543515284837
"GSTCD",1.32,4.0025,2.34087714289043,0.0339517963729354,0.296114224046314,-3.82716867790875,0.627668572905802
"GTF3C2",6.4375,17.3675,6.49745038173879,1.17297532964806e-05,0.0120485088842036,3.51553671945725,0.504966543307325
"GTPBP4",6.53875,17.539375,4.52885218935788,0.000431058272622944,0.0530779884235339,0.207174433896827,0.553729098624299
"H2AFZ",96.16375,234.586875,2.401645511133,0.0301923586988487,0.284869971806884,-3.72232060805199,0.66689681001251
"HAS2",2.87125,3.536875,1.70669994628011,0.109140009903136,0.452882823482883,-4.83782707365715,0.514210576615054
"HAUS2",3.65250000000001,10.3625,2.99136870378504,0.00939016786709318,0.189309946479981,-2.66003949394341,0.724919926752618
"HCFC1",6.76875,18.861875,2.79256901363914,0.0139846401034672,0.219867550373599,-3.02545166659898,0.811912571927674
"HGH1",3.125,9.95375,1.84932987723636,0.0848460808059636,0.40265374003941,-4.62623986643575,0.959065965342006
"HGS",8.33375,48.148125,1.66996460948227,0.116309886756079,0.467567752921204,-4.89055623586115,0.609883098802932
"HIST1H3C",0.38,0.4925,1.98439355265811,0.0664194987197727,0.367701044725829,-4.41660756652744,0.545825561597061
"HMCES",5.72499999999999,21.37875,2.42476979184069,0.0288682537007445,0.281253221017009,-3.68213835093609,0.887853616012284
"HMGA1",135.1875,242.04625,1.63580482733696,0.123340539588107,0.480620320610918,-4.93890433298574,0.688337758470482
"HMGCR",3.3925,12.40625,2.05195423257526,0.0586387456094158,0.353981677498091,-4.30867348063035,0.606403520457247
"HMGN2",96.945,241.10125,2.10861088763909,0.0527680088740815,0.342896359351973,-4.21669670769291,0.578175768345462
"HNRNPA2B1",82.9762499999999,331.949375,2.02135542174073,0.0620531827161598,0.360986622588214,-4.3577990972849,0.595831354118712
"HNRNPAB",47.975,102.05625,3.30232508370631,0.0050129303469247,0.151757617411375,-2.0798674749872,0.797286084831947
"HNRNPD",27.68375,100.039375,1.9037360046506,0.076931775901166,0.385851950525067,-4.54282351351712,0.875764982943091
"HNRNPDL",15.99625,59.510625,3.66259778941348,0.00241929632400499,0.105326624336669,-1.40220874045164,0.578933184202183
"HNRNPF",28.7475,86.78875,3.08202379956456,0.00782320922145791,0.18024132393435,-2.49175200427729,0.532502359462315
"HNRNPL",51.65875,149.771875,4.27089521762225,0.000715964381115132,0.0626416951998848,-0.265946028132798,0.691407107239554
"HNRNPU",16.89,65.3525,2.65191440470028,0.0184927231870777,0.244557918197406,-3.28007375237644,0.73205641238286
"HNRNPUL2",5.92,44.8325,1.79238477815927,0.0939014377084621,0.420989630050336,-4.71198430440395,0.612778326797885
"HSPA14",4.55875,11.829375,3.40859566912188,0.0040430390670778,0.135601150460299,-1.880218864273,0.593122149720808
"HSPA9",22.065,103.45375,1.6392599406646,0.122613106393051,0.479103769122878,-4.93404458844477,0.645456700922161
"IER3IP1",-5.65875,25.771875,-1.85824159173204,0.083501743376757,0.4001923083015,-4.61267455971897,0.594977048325969
"IL12A",0.6725,1.2375,1.77899053793654,0.0961521221478715,0.425424645592473,-4.73191223347924,0.702816780649655
"IL36RN",0.35375,0.258125,1.62187619083208,0.126310919912726,0.483882118353041,-4.95842517582202,0.694941920519196
"IL7",0.25,0.9275,1.58211069182299,0.135131836793038,0.496726749778508,-5.01352792916683,0.75871860612763
"ILF2",41.805,109.1675,3.90987270359909,0.001470611882746,0.0920860112537844,-0.93783626391861,0.544005004381544
"ILF3",26.8125,95.83,2.18907323598658,0.0453594231882779,0.325548258134646,-4.08392203479747,0.848486363904418
"IMMT",10.2,43.33625,4.7751332285984,0.000267282978378123,0.0430363285831923,0.651942984320764,0.579616128710216
"IMP4",8.01875,20.916875,3.36757713372227,0.00439293613431272,0.141625836257179,-1.95732782435639,0.702898355380336
"ING3",2.31125,5.369375,2.0039126992489,0.0640799779888733,0.365666397742136,-4.38562517511791,0.544667635754659
"INO80",1.28875,8.878125,1.86037792102164,0.0831823216338214,0.399606107986774,-4.60941687565036,0.705086432677213
"INPP5E",2.51125,10.438125,1.92016534525603,0.0746759366281646,0.382958334884035,-4.51735642648008,0.646766176593413
"INTS5",1.88875,8.361875,3.14361124803577,0.00690903334748148,0.171881185379446,-2.37696728096834,0.821497075171728
"INTS7",2.305,7.3375,2.38365244482696,0.0312622984028169,0.28869829307972,-3.75347990746846,0.920370238468235
"INTS8",1.89,11.13375,1.7479625938451,0.101549878037967,0.438106203226686,-4.77771467230586,0.544907702355004
"INVS",-0.878749999999999,4.314375,-1.86714577873786,0.0821776072705116,0.396830860943596,-4.59908187433774,0.582327669322824
"IPO11",1.87625,6.624375,2.19998764295831,0.0444324467831751,0.324883455689396,-4.06572628063194,0.646257781638065
"JAK1",-9.15624999999999,41.710625,-1.75383307681017,0.100508603183923,0.435689639124949,-4.76908790725873,0.538441421573461
"KANSL2",2.7975,9.09625,1.73371359311982,0.104116846831203,0.442514532152901,-4.79857712324809,0.700603244727921
"KBTBD4",2.395,5.59875,2.17601803433384,0.0464918552350566,0.328398592106907,-4.10562989752659,0.519036658609784
"KIF22",12.7625,32.105,1.82966221139052,0.087881594123409,0.408213272933845,-4.65603875042985,0.728067807873437
"KLHL18",1.64875,5.484375,3.38155855882034,0.00427039553229022,0.139353393667222,-1.93105059364193,0.512034965747021
"KPNA3",1.94375,15.449375,1.8223888391036,0.0890284574023401,0.410696482937795,-4.66700986070046,0.611952185540025
"KRI1",5.53,15.1225,4.10636983546635,0.00099269304248238,0.0746002642838107,-0.570957060932176,0.772395995550066
"LAS1L",6.07125,20.141875,3.30096128707332,0.00502677962031506,0.151757617411375,-2.08242665316384,0.546177289156056
"LCMT2",1.925,4.01875,2.72826460190385,0.0158948218426008,0.229562295367898,-3.14232184310328,0.566866486828022
"LEF1",5.40375,9.193125,3.15173409666306,0.00679664186122057,0.170019310426196,-2.36180408653686,0.789515664325252
"LETM1",2.92875,11.034375,2.1089598146256,0.052733594108845,0.342806217841095,-4.21612627936546,0.812919898197265
