gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8,RR9
AASDH,0.0,0.0,0.0,1.49531,1.8343,2.09792,1.73493,1.89806,1.87953,1.0534,1.09428,1.20873,1.54143,1.54143,1.13923,0.674787,0.646059,1.01309
AASDHPPT,0.835791,0.0,0.917753,8.54975,7.47193,9.14622,10.3828,10.9847,10.5688,13.8102,13.9802,13.7905,9.87998,9.87998,9.38229,4.87078,3.99023,3.76342
AASS,1.55912,2.55617,1.92835,3.04232,3.17312,3.2344,2.97197,3.41089,2.82866,3.99373,4.29064,3.54778,5.06013,5.06013,4.87559,3.17587,3.19565,2.98547
AATBC,4.02712,5.4243,6.08578,0.00961049,0.00971429,0.0214855,0.0259892,0.0233398,0.0,0.0503763,0.0251549,0.0498676,0.00947472,0.00947472,0.0380583,0.11124,0.0697215,0.027745
AATF,0.0,0.0,0.0,60.5728,62.2853,62.3529,49.4643,50.0115,49.4547,42.8347,42.5277,40.5977,62.1344,62.1344,62.6923,180.517,184.881,180.293
AATK,0.0,1.05995,1.74093,0.0172207,0.0,0.0289279,0.0233065,0.0104225,0.025363,0.0,0.0,0.0,0.0,0.0,0.00849307,0.0124498,0.0124842,0.0249054
AATK-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABALON,0.0,0.616571,0.0,85.3935,86.6487,86.4817,91.5817,89.1335,87.7522,23.3927,24.3424,24.3329,34.3538,34.3538,33.5529,56.236,56.0408,58.3722
ABAT,10.5527,8.76398,10.5443,0.128251,0.138897,0.143365,0.185773,0.211334,0.215629,0.504154,0.539449,0.404018,0.425524,0.425524,0.453414,0.145838,0.279212,0.158727
ABCA1,2.67556,2.80669,2.35432,16.7471,16.5745,16.452,24.1179,24.5414,24.5386,12.4281,12.7113,12.9281,10.5515,10.5515,10.3034,5.05009,5.01047,4.81323
ABCA10,2.52275,4.89546,3.96243,0.00689804,0.00697243,0.00771181,0.00931786,0.00836795,0.0,0.00903143,0.0,0.0,0.0,0.0,0.00682202,0.0,0.0,0.0398965
ABCA11P,21.7939,34.6943,28.2451,1.921,1.44955,1.66106,2.13124,2.16253,2.14689,0.99423,1.01362,1.55431,0.986903,0.986903,0.890806,1.03368,1.14388,1.20838
ABCA12,0.0,0.131097,0.461736,0.0332675,0.0271151,0.0480871,0.0434603,0.0520397,0.126142,0.0746292,0.0631031,0.0764672,0.0527951,0.0527951,0.0610772,0.0933849,0.0624314,0.100946
ABCA13,1.03745,0.607238,0.35668,0.0548347,0.0302316,0.0473819,0.084037,0.0633944,0.0878231,0.0228102,0.013016,0.0354941,0.0122469,0.0122469,0.0123041,0.0,0.0217885,0.014455
ABCA17P,5.27764,4.42496,3.05242,0.0,0.0,0.0,0.0,0.0,0.0,0.0138904,0.0554889,0.027499,0.0418049,0.0418049,0.0629671,0.0306451,0.0614634,0.0305722
ABCA2,1.24977,1.95117,3.20714,3.96322,4.29558,3.93682,4.0427,3.99813,3.53339,0.724462,0.904373,0.68969,1.78468,1.78468,1.61392,2.20084,2.05214,2.0111
ABCA3,0.343927,0.322188,0.945397,1.6133,1.9169,1.60488,1.84992,1.61341,1.86813,3.04305,2.84091,2.49212,5.30309,5.30309,4.45389,9.8687,9.33179,9.72292
ABCA4,0.0,0.0,0.0,0.0,0.0180028,0.00663767,0.0,0.0,0.0,0.0543943,0.05432,0.0615475,0.0584336,0.0584336,0.0117387,0.0344332,0.0258976,0.0171787
ABCA5,7.92294,6.76182,5.89863,0.371249,0.337724,0.397291,0.416138,0.398908,0.407609,0.341038,0.305134,0.367704,0.370838,0.370838,0.403468,0.291749,0.333392,0.33851
ABCA6,0.0,0.0,0.0,0.033186,0.00838605,0.00927458,0.0112126,0.0201391,0.0366052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA7,0.834367,0.625293,2.56883,2.26885,2.26101,2.16502,2.05431,2.10068,1.82245,1.33862,1.21982,1.30873,2.10771,2.10771,2.03487,8.26385,8.76093,7.69088
ABCA8,0.190401,0.0,0.20933,0.0459286,0.0533274,0.0733104,0.0930947,0.0911616,0.0900592,0.0,0.0,0.00991844,0.0,0.0,0.00756552,0.0,0.0111126,0.0
ABCA9,1.44868,1.52679,4.38018,0.0,0.0,0.0,0.0,0.0,0.0101906,0.00907587,0.00906358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA9-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,0.245136,0.229694,0.269423,0.0,0.0,0.0,0.0,0.0,0.0,0.0367939,0.0,0.0242819,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10,1.21249,0.0,0.666112,4.48254,4.22738,4.08041,4.15812,4.18347,4.57508,5.36285,5.65848,5.42819,6.40665,6.40665,6.52436,3.0388,2.72925,2.66502
ABCB11,5.56351,7.70601,7.44426,0.0277182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,0.0,0.0,0.0,0.0232971,0.023549,0.0130178,0.0157599,0.0424703,0.0,0.0916678,0.0305122,0.0302466,0.0114917,0.0114917,0.0115443,0.0,0.0,0.0
ABCB5,37.733,25.4067,27.5581,0.0205989,0.0208227,0.0,0.0,0.0,0.0,0.0132668,0.0,0.0,0.00998113,0.00998113,0.0200466,0.0732083,0.0,0.0292136
ABCB6,3.94358,2.95733,2.16543,7.62552,6.79951,7.21566,6.39333,6.14261,5.45324,7.80793,7.42492,8.03862,8.94265,8.94265,8.41235,22.9916,22.4717,21.7692
