gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
GPR151,0.36,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTGF,179.84,13.14,10.96,10.74,9.31,161.81,160.32,165.78,64.83,22.04,6.85,5.22,5.4,6.89,6.53,6.93
TRAPPC11,8.23,11.86,8.18,8.74,8.96,10.61,10.55,10.15,7.27,8.66,5.09,3.8,4.66,9.54,8.64,9.19
NFKBIA,54.22,26.68,74.21,77.08,71.23,24.64,23.42,25.92,61.51,69.58,70.68,75.67,72.86,47.25,44.36,46.56
AGAP5,5.65,5.04,2.64,2.49,2.34,4.5,4.7,4.39,5.43,4.11,1.37,2.17,2.14,2.2,2.37,2.03
ZNF831,0.21,0.04,0.0,0.01,0.0,0.01,0.03,0.02,0.18,0.12,0.01,0.01,0.0,0.01,0.02,0.01
TRIB3,23.96,5.86,17.41,16.66,15.76,8.04,8.13,8.44,9.8,7.21,13.53,15.42,14.93,15.29,14.23,16.42
ZNF33A,4.13,3.73,2.18,2.07,2.48,3.04,2.88,3.59,4.83,6.1,2.47,1.97,2.11,3.17,2.72,2.81
GPAT2,0.52,0.51,0.03,0.02,0.07,0.07,0.22,0.2,1.39,1.55,0.02,0.04,0.02,0.03,0.04,0.04
ZNF785,6.13,6.11,3.16,3.96,3.42,2.16,1.83,2.05,7.24,5.06,2.92,3.06,2.5,3.42,3.68,3.14
BCKDHA,17.09,29.77,27.83,28.75,28.2,27.53,28.64,26.8,18.86,18.2,46.69,50.1,47.63,24.22,24.1,25.64
HSD11B1L,3.83,15.78,2.45,2.11,2.38,7.84,7.63,7.88,7.3,4.97,5.29,5.63,5.03,1.94,2.29,2.41
TMCC1,15.62,7.57,2.6,2.98,3.15,5.02,5.19,4.72,10.9,9.03,3.35,3.34,3.48,3.41,2.97,3.09
MPHOSPH9,3.35,4.97,6.19,6.08,6.71,9.76,10.22,10.43,2.79,2.75,4.1,3.56,3.35,7.84,7.1,7.23
FCHSD2,31.0,23.92,2.49,2.74,2.95,6.92,7.63,7.39,28.27,10.64,2.47,2.39,2.37,2.43,2.68,2.7
DDX18,25.9,16.25,19.28,18.92,18.62,22.79,22.13,22.79,17.9,18.97,11.44,11.17,10.52,19.69,19.39,19.2
MBLAC1,0.85,2.11,1.21,1.15,1.54,0.84,0.76,0.91,1.72,1.23,0.97,1.23,1.05,0.89,1.28,0.99
PSMG3,18.53,46.23,29.55,28.11,26.25,26.9,27.23,24.04,22.8,20.12,12.73,15.13,13.44,23.23,23.72,23.71
SRSF4,39.59,31.39,64.55,64.94,59.64,77.36,80.99,79.96,46.1,32.74,48.09,53.0,45.25,66.71,66.66,64.01
TCAF2,2.52,0.7,9.12,10.25,11.07,2.56,2.66,2.7,1.45,2.69,9.04,8.28,9.46,7.31,6.99,7.23
PLEKHH1,20.4,10.68,0.29,0.28,0.41,1.04,1.18,1.28,61.71,67.5,1.64,1.39,1.48,0.44,0.47,0.41
RFPL4A,0.13,0.0,0.17,0.23,0.29,0.28,0.16,0.27,0.1,0.17,0.29,0.33,0.21,0.34,0.55,0.11
NMUR1,0.46,0.04,0.17,0.23,0.18,0.18,0.32,0.23,0.42,0.28,0.12,0.28,0.11,0.2,0.25,0.23
GPX7,26.77,35.65,0.0,0.08,0.0,0.04,0.0,0.04,21.7,6.37,0.04,0.09,0.0,0.0,0.0,0.0
TSPO,50.46,41.49,118.67,119.91,116.75,64.04,71.35,65.6,70.02,109.6,143.63,183.68,157.47,96.37,102.37,101.51
CCDC141,0.15,0.15,0.11,0.13,0.08,0.08,0.05,0.08,0.17,0.05,0.05,0.07,0.04,0.06,0.08,0.06
ABCC8,2.99,1.15,0.0,0.0,0.0,0.0,0.01,0.01,4.94,2.31,0.0,0.0,0.0,0.0,0.0,0.0
MUC6,0.12,0.05,0.0,0.01,0.0,0.0,0.0,0.01,0.21,0.0,0.0,0.0,0.01,0.0,0.02,0.0
AGTRAP,19.01,35.22,89.91,89.89,84.96,17.92,17.04,16.68,31.94,50.46,52.25,68.38,58.66,62.55,62.34,62.03
DNASE1,8.08,7.26,3.08,3.24,3.27,3.61,4.0,4.44,5.55,3.53,3.31,3.42,3.67,4.17,3.47,3.41
EIF3J,38.55,32.41,27.72,25.89,26.33,24.06,22.42,21.93,34.09,34.95,11.73,13.6,11.77,27.15,23.57,24.96
SLC35G5,0.32,0.19,0.08,0.12,0.04,0.0,0.0,0.0,0.21,0.49,0.12,0.18,0.0,0.0,0.0,0.09
MLYCD,5.37,3.29,3.54,3.63,3.87,1.79,1.9,2.22,4.83,3.84,3.48,3.39,4.03,3.76,4.08,3.78
NCL,176.47,190.28,240.3,238.7,247.66,138.42,136.64,138.6,120.49,120.41,116.91,117.29,115.26,246.66,224.68,243.49
MVP,27.54,13.12,134.16,144.95,145.8,59.34,58.87,60.27,30.76,79.21,146.33,130.94,144.72,97.47,102.1,103.83
PPIL6,0.66,12.85,3.49,2.52,3.62,1.81,2.33,2.12,2.0,2.26,3.46,3.95,3.06,3.14,3.19,3.2
TMEM41B,11.36,11.09,8.67,8.57,8.1,14.83,15.58,15.8,9.81,10.15,9.17,11.07,9.34,10.55,9.89,9.8
SPTLC1,35.37,32.15,39.71,38.48,41.9,24.52,26.81,26.12,32.48,29.45,34.8,30.77,32.81,40.76,40.62,40.24
PRTN3,0.0,0.0,0.0,0.0,0.0,1.5,1.02,1.08,0.18,0.15,0.0,0.08,0.0,0.0,0.0,0.0
