gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
FLT3LG,3.22,7.5,4.82,5.73,5.34,6.99,7.82,5.98,5.37,5.23,6.1,6.68,5.36,3.37,4.62,4.38
ERI1,5.15,7.44,9.91,9.69,10.77,12.02,10.99,11.34,4.82,5.02,6.17,6.46,6.33,9.98,10.21,9.36
SAP130,13.29,17.69,20.28,19.25,19.65,20.72,20.87,21.34,9.24,7.72,14.01,11.07,14.3,15.16,15.03,15.98
LOC100129098,0.15,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.0,0.02,0.0,0.0
SPIN1,31.54,45.03,34.69,34.94,37.22,19.93,18.8,19.51,33.83,24.43,33.13,27.11,31.97,40.31,36.5,37.84
WNT6,0.13,0.13,0.21,0.15,0.03,1.58,1.12,1.44,0.24,0.08,0.06,0.35,0.28,0.15,0.03,0.12
SGPL1,22.9,11.95,6.6,6.32,6.8,9.35,9.02,8.89,16.55,15.69,5.47,5.02,5.03,6.01,6.52,6.32
PRRX2,0.52,0.17,0.2,0.62,0.0,0.0,0.0,0.0,0.68,0.75,0.16,0.0,0.0,0.0,0.0,0.0
PINLYP,5.33,24.48,8.29,8.69,7.43,0.59,0.42,0.61,16.02,7.42,6.2,6.39,7.07,8.41,6.31,7.59
CLTA,131.21,127.46,250.01,238.6,213.97,221.6,227.08,209.0,148.77,165.26,158.81,186.52,140.48,228.9,237.39,237.41
TRAPPC4,35.98,28.8,17.08,16.91,16.63,33.79,32.16,32.34,24.41,21.36,10.44,11.42,11.67,14.5,16.34,12.18
LRRC47,23.1,18.88,16.41,16.67,16.09,22.45,22.71,24.44,31.16,15.1,11.74,11.84,11.73,12.91,12.8,14.24
CXorf40A,7.38,7.59,6.28,7.04,7.41,10.74,10.39,10.59,7.94,6.39,7.55,7.93,7.86,5.82,6.02,5.18
GDF5,2.91,0.24,1.38,1.39,1.36,0.15,0.16,0.15,0.41,0.15,0.98,1.16,1.09,0.91,0.89,1.06
SORBS2,3.9,1.85,3.93,4.08,4.24,8.3,8.14,8.27,6.17,0.58,2.52,1.81,2.68,3.06,3.12,3.24
CSPP1,6.09,7.77,3.12,2.84,2.89,2.81,3.13,2.95,6.36,5.5,3.09,3.56,2.59,3.91,3.39,3.48
PPP3CC,21.46,6.29,10.05,9.38,10.84,9.26,9.61,9.4,12.78,11.24,12.68,12.81,11.39,9.32,11.18,10.73
UBE2R2,27.14,37.23,33.18,32.09,29.93,46.36,48.05,48.56,38.15,27.04,40.15,40.35,38.95,36.39,35.16,33.88
SNX9,15.21,15.48,67.47,67.16,73.19,16.86,16.96,15.77,19.28,29.46,80.63,73.99,76.29,74.13,71.43,72.04
TNFSF8,3.62,0.9,0.0,0.0,0.05,0.0,0.0,0.0,4.71,7.45,0.0,0.0,0.0,0.0,0.0,0.0
TRAIP,5.33,6.11,12.73,12.47,12.0,7.07,6.98,6.38,2.34,0.76,3.18,2.91,3.71,7.6,9.58,7.12
DR1,15.26,17.08,12.94,12.93,13.73,34.05,33.82,34.81,10.88,10.42,10.48,9.18,10.35,14.78,15.09,15.1
IGFN1,0.01,0.86,0.04,0.05,0.07,0.0,0.0,0.0,0.16,0.03,0.16,0.1,0.15,0.05,0.04,0.03
AES,217.76,310.06,228.83,241.59,221.77,261.81,270.34,272.21,231.49,99.93,348.45,408.53,378.08,206.42,216.91,224.38
FAM169A,4.68,3.44,0.17,0.3,0.35,4.4,4.24,4.66,4.56,3.96,0.19,0.13,0.16,0.34,0.24,0.25
WIF1,0.06,1.15,0.0,0.0,0.0,0.02,0.0,0.02,5.66,0.12,0.0,0.0,0.0,0.0,0.0,0.0
DLL3,28.2,40.63,0.0,0.0,0.0,0.64,0.58,0.85,14.05,0.21,0.0,0.03,0.03,0.0,0.03,0.0
RNF149,16.01,14.25,4.52,4.53,4.05,21.08,21.97,21.91,18.84,59.59,3.13,4.05,2.81,5.03,5.53,5.61
AQP11,2.12,2.19,0.78,0.8,0.58,2.45,2.39,2.4,1.43,1.01,0.41,0.35,0.56,0.66,0.78,0.69
COX14,26.4,26.06,30.4,30.63,24.13,16.61,14.52,13.56,35.33,41.73,31.63,38.22,32.04,24.57,24.19,23.99
ANP32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.02,0.0,0.0
SMCO4,6.91,1.2,2.74,3.4,2.15,10.44,11.81,11.72,6.75,12.8,3.25,5.34,3.93,3.57,3.08,3.33
CLVS1,0.29,1.24,0.15,0.08,0.14,0.0,0.02,0.0,0.68,0.05,0.07,0.12,0.04,0.09,0.07,0.1
THPO,0.39,0.58,0.0,0.0,0.0,0.0,0.06,0.09,1.05,0.22,0.0,0.03,0.0,0.0,0.0,0.0
COMP,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
SPDYE18,0.45,0.72,0.21,0.06,0.12,0.38,0.62,0.27,0.53,0.05,0.0,0.25,0.28,0.13,0.2,0.07
CDKN2B,6.25,0.22,0.02,0.03,0.01,0.0,0.0,0.0,5.07,4.93,0.01,0.0,0.0,0.0,0.01,0.0
CGGBP1,31.64,35.22,30.48,31.06,32.91,40.78,40.85,41.64,26.68,26.0,25.57,21.53,24.73,36.7,33.67,35.38
CCT4,88.16,58.53,114.56,115.32,106.36,91.44,89.83,86.18,55.08,53.38,64.81,69.39,61.94,92.01,90.76,89.93
CXCR6,1.51,0.07,0.17,0.2,0.18,0.08,0.16,0.08,0.71,1.12,0.21,0.06,0.17,0.26,0.28,0.3
TUBGCP6,10.73,13.2,5.03,5.87,5.67,10.07,9.73,9.82,13.88,8.03,6.85,5.34,6.98,5.46,5.71,5.93
AREG,1.68,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.07,0.63,0.0,0.0,0.0,0.04,0.0,0.0
ADA2,22.14,4.86,0.21,0.15,0.12,0.23,0.21,0.2,46.67,53.89,0.23,0.26,0.2,0.21,0.19,0.23
PPP1R9B,54.71,46.8,26.63,27.48,25.88,51.0,51.84,52.81,53.74,28.87,30.73,31.17,30.28,27.94,28.33,30.66
ZMYM1,3.58,3.33,6.61,6.21,7.01,6.82,7.15,6.23,2.32,2.57,6.12,5.03,5.58,9.98,9.58,8.89
TADA2A,6.43,14.99,8.72,9.0,8.28,4.19,3.99,4.53,7.11,6.12,4.03,3.33,3.71,7.14,7.28,6.89
PARP1,70.95,98.97,50.07,48.8,53.83,46.37,45.31,47.97,50.35,50.73,18.63,16.87,18.99,47.54,47.17,48.67
GBA,26.92,31.32,53.87,53.86,55.99,45.75,44.59,42.34,34.34,59.24,59.13,55.69,62.12,46.85,47.9,44.21
KLHDC1,2.57,3.52,0.29,0.24,0.33,0.48,0.54,0.77,4.21,5.09,0.06,0.11,0.12,0.23,0.27,0.35
RYR2,0.07,0.51,0.57,0.54,0.6,0.02,0.03,0.03,0.8,0.28,0.61,0.4,0.54,0.55,0.54,0.55
CYSTM1,57.34,48.1,78.21,78.44,72.12,39.39,42.05,36.36,84.62,93.7,69.35,80.4,69.28,59.56,59.07,55.98
LOC102724995,0.29,0.18,0.0,0.0,0.0,0.0,0.35,0.0,0.47,0.88,0.0,0.0,0.0,0.13,0.16,0.0
CD302,12.28,13.26,6.08,4.92,5.29,11.17,11.17,10.69,13.43,14.6,7.69,8.61,8.24,6.65,6.75,6.14
KDSR,9.97,15.24,11.24,11.94,11.99,6.88,6.56,6.7,18.28,18.47,6.93,7.02,7.1,10.43,9.7,10.11
RNASE4,7.57,5.45,2.81,3.18,3.34,7.96,7.93,8.15,5.79,15.24,14.74,18.75,14.12,6.57,6.49,5.25
EGR2,28.58,1.5,4.59,5.24,4.78,0.22,0.2,0.19,2.85,4.96,6.72,5.87,7.26,4.74,3.81,4.15
DPP6,14.99,9.27,0.0,0.01,0.03,0.0,0.0,0.0,17.06,3.98,0.03,0.04,0.05,0.03,0.02,0.01
DZIP3,5.53,4.5,3.06,2.69,3.13,4.78,5.44,5.4,8.18,5.13,4.22,3.81,3.71,4.47,4.68,4.34
NAPG,13.32,11.75,11.53,9.81,11.57,12.03,11.52,11.82,14.12,14.22,11.12,11.89,11.26,11.32,10.3,10.5
ENTPD6,37.15,27.24,9.12,10.55,9.91,22.75,22.48,21.59,23.57,20.81,7.8,6.97,7.71,8.41,9.31,7.99
FASTKD1,6.11,7.06,8.55,8.1,8.1,12.6,11.79,11.51,7.36,7.82,8.2,9.16,6.68,8.88,8.95,8.77
MCU,8.22,5.21,12.96,12.07,12.8,14.81,15.18,15.46,8.73,3.88,10.88,10.68,10.95,15.02,13.65,13.35
TBCE,17.1,13.27,17.87,17.66,19.26,14.14,14.44,13.89,11.6,9.63,12.89,14.14,13.73,18.05,17.97,16.63
LOC107984751,0.12,0.03,0.09,0.08,0.08,0.08,0.08,0.13,0.35,1.17,0.1,0.12,0.1,0.09,0.08,0.04
CCNA2,15.56,13.63,51.77,50.16,52.13,43.88,40.36,41.19,8.36,2.88,11.05,10.45,10.4,52.95,49.95,48.88
TUBA8,1.72,4.79,0.61,1.04,0.72,0.37,0.35,0.25,4.61,0.77,0.58,0.66,0.78,0.59,0.44,0.48
IWS1,20.54,15.31,17.04,16.36,16.85,34.06,34.55,34.14,13.14,15.72,21.61,20.6,20.99,18.76,18.49,19.11
FUT3,0.36,0.04,0.1,0.12,0.05,4.27,4.89,5.26,0.87,0.14,0.2,0.19,0.14,0.1,0.02,0.06
ARFGEF2,4.8,4.53,7.6,8.47,10.17,7.14,7.39,7.55,6.48,5.47,7.09,4.82,7.36,10.18,10.09,10.23
LOC101927262,0.0,0.05,0.0,0.07,0.13,0.2,0.56,0.23,0.06,0.19,0.1,0.18,0.25,0.03,0.08,0.32
RNF115,22.02,17.04,11.66,10.96,11.7,19.99,19.86,19.22,20.41,12.56,7.2,6.59,6.3,9.77,8.94,9.36
THSD1,4.25,3.97,0.06,0.2,0.09,1.34,1.29,1.3,7.43,1.87,0.11,0.25,0.23,0.14,0.17,0.14
HAS1,0.07,0.18,0.12,0.17,0.05,0.02,0.05,0.03,0.27,1.76,0.17,0.08,0.0,0.0,0.05,0.02
ZNF598,13.33,14.52,14.72,15.96,14.54,18.62,20.23,19.67,10.11,5.72,11.55,10.92,11.97,11.43,11.32,12.93
C10orf67,0.1,0.1,0.22,0.1,0.35,0.05,0.05,0.07,0.27,0.43,0.14,0.37,0.22,0.06,0.02,0.12
CHST2,8.99,13.87,4.38,4.27,3.98,6.88,6.92,6.68,5.63,14.39,4.42,4.2,4.44,3.72,4.23,3.41
HIST1H3F,0.0,0.0,0.41,0.46,0.0,0.36,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
EPM2AIP1,10.43,10.08,6.35,5.85,6.64,11.88,11.94,11.89,8.61,7.4,3.3,3.15,3.03,7.43,6.9,6.81
RPIA,9.53,11.06,7.52,7.43,6.69,6.94,6.94,6.81,8.94,6.13,3.01,3.22,3.15,5.42,5.29,4.01
SNX4,25.06,21.7,9.75,9.94,9.94,9.03,9.41,9.32,22.29,17.49,11.43,11.04,10.79,12.74,12.8,14.09
DNAJC19,20.21,22.82,16.04,15.59,14.94,24.92,24.02,22.22,20.92,14.13,13.86,16.59,11.8,15.09,15.72,16.25
CLN5,11.24,20.47,9.35,9.24,9.82,9.11,8.65,8.65,15.62,17.1,10.13,9.64,9.24,10.54,10.42,10.41
TTLL1,19.54,11.69,3.83,3.29,3.24,4.09,4.97,3.93,16.5,8.03,7.18,7.98,7.01,3.93,3.82,4.11
GRPEL1,7.84,12.98,17.91,18.42,15.98,10.89,11.47,9.5,12.59,11.93,12.39,14.33,12.56,13.83,14.26,14.57
LRRC31,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.04,0.05,0.02
SHLD1,4.46,7.66,1.86,2.84,2.12,2.49,1.67,2.75,6.07,3.79,1.62,2.11,2.26,1.87,2.01,2.27
C12orf75,9.5,17.8,59.36,59.9,57.55,50.17,52.09,50.48,5.62,5.33,44.25,51.28,43.58,52.76,52.46,54.12
URGCP,10.21,23.89,17.61,17.73,15.92,11.04,11.04,11.04,16.4,10.91,28.45,25.59,27.95,18.56,18.18,18.02
BMPER,0.73,2.46,7.61,7.9,7.81,0.11,0.27,0.16,0.93,0.6,5.19,4.97,5.18,7.91,7.56,7.49
UPF2,9.61,6.5,6.91,6.81,7.68,7.93,7.65,7.41,10.48,9.76,6.23,6.44,6.5,7.47,7.62,6.96
OARD1,11.95,15.19,11.99,11.66,12.18,13.14,11.26,10.52,19.44,19.42,6.94,7.74,7.62,10.88,10.37,10.03
VANGL2,10.48,23.85,0.0,0.01,0.0,0.11,0.09,0.16,8.75,2.02,0.0,0.02,0.02,0.0,0.0,0.0
BCAR1,25.3,24.55,42.77,45.91,45.14,20.69,21.93,22.92,24.1,13.2,55.98,50.91,58.9,44.71,46.1,48.93
PALM,19.25,50.39,0.02,0.18,0.09,3.25,2.98,2.67,67.65,23.39,0.15,0.17,0.04,0.04,0.0,0.04
TMEM218,6.55,11.7,3.74,3.78,3.48,3.16,3.35,2.96,6.24,5.39,2.68,3.05,2.86,2.88,3.49,3.14
PISD,11.58,9.39,10.46,11.56,10.06,7.77,8.15,9.27,17.29,11.53,6.78,6.48,6.95,6.87,7.89,7.52
EBLN2,1.06,1.09,0.54,0.61,0.75,2.01,2.15,2.63,1.28,1.02,0.94,0.54,1.19,0.92,0.68,0.97
ZMAT5,22.46,12.2,20.81,22.74,21.4,11.6,13.62,11.47,22.72,14.34,16.62,23.22,16.94,15.7,14.17,13.94
HOXC10,0.49,0.04,0.28,0.23,0.23,22.02,20.61,20.57,0.04,0.07,0.48,0.71,0.37,0.5,0.47,0.31
CTNS,9.6,10.97,13.64,13.83,13.73,5.46,5.17,5.44,9.59,15.14,10.02,9.93,10.1,9.75,10.77,10.07
SNX29,6.42,5.89,3.55,3.93,4.19,1.79,1.66,1.72,9.86,7.74,6.26,4.25,6.24,3.48,3.55,3.49
PPP1R7,29.82,65.92,71.89,70.18,69.68,32.07,35.04,31.67,53.77,44.58,72.51,92.81,73.49,68.05,63.33,67.22
U2AF2,74.89,79.98,78.77,84.69,80.58,86.82,93.52,91.53,54.68,33.05,61.26,58.52,60.29,71.33,70.16,73.45
EFHC1,2.83,15.3,6.7,6.83,7.03,6.54,6.89,7.0,2.64,3.34,9.87,8.92,8.53,8.4,7.99,8.6
IER5L,8.13,8.28,14.43,14.89,14.51,23.79,23.24,25.86,6.83,28.29,28.76,29.89,26.97,19.63,20.57,20.93
POLR2A,56.65,37.04,35.28,38.29,35.22,32.19,33.33,35.83,26.34,21.52,20.97,17.79,20.68,27.35,26.25,27.73
KRTAP19-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
WNT2B,1.03,0.8,0.06,0.07,0.09,1.0,0.92,0.75,1.35,1.08,0.17,0.19,0.2,0.02,0.08,0.18
SUCLG1,64.23,40.45,43.75,43.52,42.4,36.79,36.68,32.44,47.73,39.71,41.37,50.4,43.98,39.47,38.3,38.23
ZNF804A,1.05,0.15,4.14,3.96,4.13,2.29,2.1,2.44,0.49,0.43,1.62,1.65,1.45,3.4,3.0,3.11
TTF1,9.74,3.63,10.53,10.85,9.93,6.42,6.94,6.44,8.6,7.75,8.66,9.88,7.82,8.99,10.24,9.29
KIF5A,33.0,63.36,4.23,4.85,4.66,2.58,2.55,2.38,93.25,8.81,9.57,7.48,9.3,6.02,5.51,6.7
CPE,121.11,91.07,8.42,7.89,8.02,9.66,9.55,9.65,217.0,68.97,9.81,9.9,10.21,8.23,8.13,9.21
PDZRN4,0.77,2.2,0.0,0.02,0.0,0.03,0.1,0.05,0.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0
DACT3,11.3,17.01,0.74,0.84,0.82,1.08,1.34,1.23,23.06,14.96,1.57,0.95,1.03,0.71,0.63,0.56
CRAMP1,6.94,9.98,2.36,2.54,2.71,4.91,5.34,5.03,6.29,3.58,2.31,1.61,2.21,2.54,2.52,2.68
FAM47E-STBD1,1.01,0.86,0.0,0.0,0.0,0.18,0.42,0.2,1.12,2.14,0.11,0.0,0.0,0.0,0.0,0.0
ATP6V0D1,70.17,73.93,89.7,83.14,78.64,52.42,49.54,50.99,68.93,104.4,93.42,106.66,95.81,95.84,93.07,93.53
PIP5KL1,2.18,1.1,2.9,2.51,2.49,1.46,1.27,2.08,1.93,0.41,9.08,11.28,9.21,4.15,3.65,4.55
VPS13B,3.46,5.25,2.33,3.08,3.34,3.32,3.14,3.53,2.94,3.49,2.51,2.16,2.55,3.44,2.68,3.22
SNX10,30.29,10.95,0.0,0.0,0.0,15.69,14.26,15.71,31.64,48.59,0.04,0.07,0.04,0.11,0.09,0.06
ZMIZ2,20.98,52.03,37.18,40.14,38.99,30.19,31.86,33.13,32.21,19.72,49.58,41.57,49.4,29.82,31.12,32.31
RAX2,0.0,0.0,0.22,0.34,0.29,0.33,0.31,0.26,0.0,0.0,0.23,0.18,0.12,0.18,0.21,0.25
POGK,38.32,30.92,16.85,16.29,18.06,17.54,17.53,17.23,41.86,25.09,10.21,9.45,9.97,16.27,16.02,15.6
NAT8L,12.39,15.38,0.0,0.01,0.0,0.83,1.15,1.09,29.01,7.68,0.03,0.05,0.02,0.01,0.03,0.03
HMGCLL1,0.67,0.26,0.21,0.12,0.09,0.52,0.41,0.48,1.27,0.41,0.23,0.21,0.24,0.14,0.07,0.04
FGG,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.03
LOC107984974,6.53,8.37,5.77,6.7,6.12,10.13,10.89,9.56,7.49,5.45,6.95,9.39,8.79,7.63,5.67,6.38
RGPD4,0.25,0.23,0.14,0.1,0.18,0.41,0.3,0.37,0.21,0.22,0.18,0.13,0.06,0.1,0.14,0.16
TANC1,24.86,22.91,4.62,5.19,5.95,18.46,18.02,18.71,16.13,12.94,6.72,5.08,6.44,6.75,6.42,6.14
PDE1A,2.02,1.12,0.1,0.1,0.11,0.03,0.0,0.03,2.02,1.84,0.03,0.11,0.0,0.06,0.01,0.0
MSANTD1,0.15,0.46,0.11,0.16,0.03,0.33,0.31,0.28,0.36,0.25,0.11,0.2,0.22,0.03,0.13,0.15
NSUN7,1.91,1.8,0.33,0.3,0.11,0.07,0.01,0.08,2.39,0.38,0.15,0.25,0.23,0.07,0.03,0.06
NXNL1,0.0,0.0,0.07,0.12,0.06,0.08,0.36,0.45,0.2,0.0,0.18,0.0,0.0,0.0,0.12,0.06
C1orf123,36.16,55.79,27.16,25.18,24.95,24.09,22.65,21.23,48.52,31.4,19.45,25.56,22.33,23.56,20.61,21.55
FBXW7,5.33,10.42,3.47,3.75,3.85,7.44,6.79,6.53,9.42,5.68,2.04,1.93,2.06,3.65,3.54,3.82
RASL11A,6.05,3.75,0.58,0.5,0.25,0.59,0.34,0.26,4.49,3.14,0.52,0.68,0.58,0.57,0.07,0.57
MAN2A1,5.99,4.31,8.03,8.97,10.55,24.03,22.49,22.54,11.97,20.77,8.47,5.56,8.18,12.52,12.68,12.2
ARPC4-TTLL3,7.9,13.58,3.51,3.38,3.29,8.25,8.6,8.0,7.23,7.56,3.73,4.68,4.09,2.96,3.66,2.88
DSP,0.85,0.37,0.0,0.02,0.02,4.17,4.09,4.08,1.35,0.28,0.06,0.01,0.01,0.01,0.0,0.01
IL4I1,1.19,1.74,0.37,0.25,0.46,0.91,0.77,0.74,3.08,48.99,0.23,0.27,0.35,0.34,0.12,0.23
TMEM82,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
MILR1,6.15,3.53,7.88,7.98,8.72,1.53,1.74,2.2,10.95,21.71,8.46,9.5,8.16,8.82,7.95,7.9
SLC17A6,0.23,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6orf52,6.31,5.64,6.5,5.4,4.38,0.72,0.67,0.57,1.97,1.59,2.84,2.76,2.11,4.57,5.52,4.61
PPP2R1A,211.75,195.3,107.84,108.1,99.67,132.19,124.96,129.01,140.18,89.84,108.34,111.09,106.46,88.59,97.04,96.37
ANAPC11,70.88,83.18,47.94,48.28,44.39,69.92,71.03,68.75,47.95,41.85,38.42,51.21,43.37,40.09,46.44,42.55
ABLIM1,14.13,20.31,4.31,4.48,4.75,2.71,2.74,2.56,39.86,8.4,9.31,7.22,9.14,2.54,2.75,3.0
NOTCH2NLA,1.39,1.69,0.58,1.07,1.43,1.52,1.24,1.15,2.04,1.24,0.62,0.2,0.45,0.7,0.47,0.82
ITPKB,13.08,41.55,0.67,0.64,0.73,5.86,5.68,5.61,60.94,94.42,1.71,1.99,1.85,1.27,1.11,1.04
N4BP1,7.73,8.4,5.8,6.39,6.06,15.71,15.61,15.72,9.23,8.09,8.43,8.19,8.36,7.5,7.97,7.8
ATP2B2,6.76,5.98,0.07,0.08,0.08,0.01,0.02,0.01,6.61,0.14,0.27,0.15,0.27,0.2,0.2,0.16
CBS,47.85,46.26,0.08,0.26,0.0,6.19,6.52,8.47,26.36,6.04,0.17,0.0,0.17,0.12,0.07,0.0
FAR2,7.14,3.73,9.37,8.93,9.86,2.58,2.45,2.55,5.9,3.41,7.47,7.35,7.16,9.17,7.96,7.4
USP17L22,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
ZNF709,0.6,1.55,0.19,0.15,0.19,1.31,1.25,1.08,1.1,0.56,0.21,0.22,0.25,0.13,0.24,0.22
OTULIN,5.22,5.03,6.2,5.93,6.6,6.96,6.9,7.04,4.18,5.2,4.06,3.61,4.26,6.57,6.6,6.24
PCDH7,5.69,1.15,2.23,2.95,2.88,7.96,7.3,7.91,4.89,0.24,2.0,1.43,1.88,0.28,0.28,0.27
MTNR1A,0.06,0.03,0.05,0.06,0.08,0.02,0.12,0.0,0.0,0.0,0.0,0.02,0.09,0.0,0.05,0.07
VIP,0.19,0.75,0.04,0.1,0.03,0.0,0.07,0.0,2.2,0.05,0.07,0.07,0.07,0.0,0.0,0.0
POU4F2,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
TUBG1,33.6,40.32,82.67,79.83,73.52,89.24,86.44,86.15,20.75,13.2,50.02,60.66,54.03,58.56,59.99,58.61
DPM2,26.35,18.18,76.23,72.99,69.6,14.46,15.32,15.87,27.47,22.92,42.82,54.54,46.67,52.02,53.84,51.48
CDK2AP2,45.33,37.09,80.0,78.63,67.45,63.6,66.74,69.18,47.65,59.98,101.0,130.16,106.53,67.46,60.14,69.31
HIST3H3,0.2,0.0,0.13,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.12,0.24,0.0,0.0,0.24,0.0
THAP11,21.65,25.44,14.77,14.03,12.58,19.87,19.12,19.6,17.26,11.6,14.89,16.68,15.91,15.94,16.42,15.75
PNKP,23.78,20.14,13.33,12.73,13.16,24.59,25.6,23.62,13.8,12.11,13.81,15.82,15.46,10.72,11.0,11.1
PNMA5,0.07,0.15,0.0,0.0,0.0,0.0,0.03,0.02,0.33,0.0,0.02,0.0,0.0,0.0,0.0,0.0
SLC26A6,4.67,5.72,11.24,10.42,9.94,37.72,39.52,39.1,4.2,4.16,20.67,21.24,19.76,13.9,13.97,12.98
ZC3HC1,10.07,20.87,29.97,29.42,29.74,13.97,13.23,12.74,8.72,6.1,19.94,22.4,18.87,22.1,23.69,23.57
RSRC1,8.16,13.12,23.26,22.18,23.84,16.24,15.23,14.42,7.28,8.13,23.29,22.91,23.02,27.15,25.51,27.81
GBP1,9.42,18.25,9.22,9.89,9.57,8.77,8.71,8.07,8.38,29.14,15.29,13.55,12.19,7.99,8.03,8.02
TMEM165,38.08,39.66,37.13,35.89,37.72,101.93,99.9,95.53,37.25,54.69,38.96,37.52,34.4,40.51,40.2,40.82
DLX1,0.6,85.24,5.8,4.68,5.74,4.04,4.55,3.44,1.3,0.16,2.57,2.69,2.83,4.16,3.89,4.26
EIF3M,91.51,49.12,106.49,101.83,99.13,171.07,169.06,158.87,76.71,66.78,72.39,84.7,74.38,100.22,103.6,98.08
SNED1,3.33,1.15,0.13,0.05,0.08,0.44,0.45,0.42,4.57,2.88,0.18,0.08,0.17,0.1,0.08,0.13
ADI1,55.56,84.96,46.74,43.84,43.78,45.45,42.94,43.43,55.24,41.72,35.72,41.39,33.71,41.23,40.25,39.47
SOX13,17.5,10.22,4.24,4.0,4.45,41.88,43.6,43.26,18.82,5.48,9.29,9.35,9.89,5.24,5.11,6.01
CHMP4B,89.16,96.48,107.91,103.71,94.86,66.4,68.9,66.05,114.17,106.94,87.21,100.14,86.34,91.27,88.3,91.68
RBM34,22.68,14.55,19.63,19.75,19.15,27.88,29.14,25.67,16.85,21.93,11.26,13.23,10.3,17.54,16.83,18.07
KCTD7,4.73,15.77,3.96,3.97,4.01,5.47,5.09,5.58,9.17,12.6,5.17,3.71,5.45,4.08,4.62,4.49
SKA1,8.65,5.02,13.78,13.14,13.27,4.6,4.97,4.87,4.11,0.65,3.88,4.06,3.64,9.45,9.06,8.96
PPP1R15A,37.92,17.03,41.41,42.13,40.83,29.61,28.87,28.2,24.0,57.4,27.37,30.65,28.31,26.36,27.12,27.83
SDHC,29.67,29.08,12.81,14.12,15.36,21.37,21.57,21.01,25.61,20.57,8.47,10.26,8.25,11.25,10.89,9.8
COA4,90.03,82.85,46.11,50.32,46.17,66.01,66.6,62.85,110.76,47.38,28.44,34.15,30.5,35.22,34.85,35.42
TP53AIP1,0.19,0.59,0.47,0.73,0.74,0.88,1.14,0.69,0.41,0.13,0.6,0.45,0.92,0.55,0.53,0.59
KEL,0.22,1.38,0.14,0.08,0.08,0.0,0.06,0.03,0.94,6.63,0.0,0.03,0.0,0.0,0.06,0.0
RAB2A,65.0,49.55,36.57,33.9,34.3,29.13,30.76,28.98,57.52,39.05,35.48,38.44,33.65,44.69,40.6,42.78
CPA5,0.0,0.23,0.38,0.38,0.28,0.25,0.19,0.25,0.0,0.03,0.69,0.96,0.67,0.46,0.35,0.48
SAFB2,36.23,43.45,22.28,24.05,24.33,36.17,37.15,37.82,31.33,21.7,17.49,16.15,16.67,22.51,23.17,21.5
DDIT3,54.64,26.52,42.74,43.87,40.61,42.62,43.88,39.41,28.99,102.59,47.59,60.76,42.68,41.63,42.8,42.75
F5,0.14,0.04,0.3,0.27,0.39,0.61,0.8,0.84,0.23,0.71,0.25,0.29,0.19,0.27,0.25,0.26
IZUMO4,2.3,15.06,0.47,0.51,0.62,1.18,0.78,1.29,6.28,7.0,1.04,0.9,1.42,0.52,0.28,0.63
LOC105377805,0.03,0.02,0.04,0.04,0.04,0.0,0.0,0.0,0.04,0.05,0.04,0.01,0.05,0.01,0.0,0.06
CLEC5A,0.55,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.35,14.37,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H3D,4.1,0.69,0.43,0.97,0.47,0.29,0.63,0.76,2.04,0.5,0.35,0.18,0.32,0.17,0.12,0.28
GPR179,0.15,0.14,0.01,0.0,0.0,0.01,0.02,0.03,0.15,0.07,0.0,0.0,0.01,0.01,0.0,0.01
PIK3IP1,13.7,5.09,0.35,0.39,0.46,0.26,0.26,0.24,43.36,17.05,1.43,1.42,1.37,0.39,0.59,0.43
GPS2,73.34,80.57,60.65,58.45,55.61,50.27,47.01,47.54,80.14,64.54,49.97,60.24,53.27,37.83,40.12,36.1
